"","Q006","TP_ESCOLA","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","NU_IDADE","TP_ST_CONCLUSAO","Q025","Q001","Q002","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_MEDIA","NOTA_MEDIA_GROUPPED"
"16","C",1,"F",0,3,21,1,"B","C","D",439.7,523.3,557.7,614,540,534.94,10
"43","D",1,"M",1,1,20,1,"B","F","D",575.7,487.5,564.7,609.5,280,503.48,10
"55","L",3,"F",1,1,19,2,"B","E","G",572.9,583.7,568.6,640.7,680,609.18,12
"75","L",1,"F",1,1,24,1,"B","E","F",666.7,657.3,613.5,705.5,780,684.6,13
"76","B",1,"F",1,1,18,1,"B","E","E",454,548.8,547.4,436.4,800,557.32,11
"82","I",2,"F",1,1,18,2,"B","F","E",531.2,639.8,616.2,604.7,840,646.38,12
"86","B",1,"F",1,3,18,1,"B","E","C",453,521.6,528,455.3,720,535.58,10
"90","M",3,"F",1,1,17,2,"B","G","G",572.6,625.1,576.9,562.9,780,623.5,12
"94","E",1,"F",1,1,18,1,"B","F","G",412.9,404.6,476.2,441.3,540,455,9
"103","B",1,"F",1,1,26,1,"A","E","E",393,532.9,537.6,399.1,500,472.52,9
"120","G",1,"F",1,1,21,1,"B","C","D",424,510.5,551.4,608,740,566.78,11
"134","O",2,"F",1,1,18,2,"B","G","G",585.1,602,607.6,627.1,660,616.36,12
"148","E",1,"F",1,2,24,1,"B","E","D",433.2,468.5,466,376.4,380,424.82,8
"155","E",1,"F",1,1,20,1,"B","C","D",426.1,542.8,560.2,493,600,524.42,10
"208","I",2,"M",1,1,19,2,"B","H","G",542.2,596.5,587,613,720,611.74,12
"222","J",1,"M",1,1,26,1,"B","E","E",600.1,526,591.2,573.4,600,578.14,11
"248","B",2,"F",1,0,18,2,"B","C","A",471.3,550.6,553.6,607.5,640,564.6,11
"278","C",1,"F",1,1,20,1,"B","B","E",422,431.2,478.6,446.4,580,471.64,9
"394","Q",1,"M",1,1,17,3,"B","G","G",553,552.1,578.1,645.4,740,613.72,12
"435","K",1,"F",1,1,20,1,"B","F","F",531.3,545.7,564.4,405.1,560,521.3,10
"436","G",2,"F",1,1,19,2,"B","D","B",565.8,566.7,544.3,451.6,720,569.68,11
"448","E",2,"M",1,1,17,2,"B","H","E",461,533.3,545.5,617.3,720,575.42,11
"504","C",1,"M",1,3,27,1,"B","B","E",455.5,528.4,561.1,468.3,320,466.66,9
"505","D",2,"M",1,3,17,2,"B","D","D",493.3,556.6,525.5,597.5,480,530.58,10
"535","C",1,"F",1,1,20,1,"A","F","E",403.4,427.3,523.9,389.1,500,448.74,8
"559","K",2,"M",1,0,17,2,"B","C","E",541.6,580.7,568,688.4,700,615.74,12
"571","C",2,"F",1,2,17,2,"B","C","D",449.6,568.4,531,664.4,840,610.68,12
"578","D",2,"F",1,1,17,2,"B","B","A",411.1,455.1,514.8,439.3,480,460.06,9
"592","H",1,"F",1,3,17,3,"B","F","E",632.3,626.3,564.6,539.2,920,656.48,13
"602","H",1,"F",1,1,19,1,"B","G","G",615.6,643.2,563.9,718.6,760,660.26,13
"613","C",1,"F",1,1,19,1,"B","D","E",465.3,497.8,530.6,401.9,480,475.12,9
"616","F",1,"F",1,1,19,1,"B","D","D",496.7,490,545.4,637,560,545.82,10
"617","J",1,"M",1,3,17,1,"B","G","G",619.4,640.9,558.7,699,840,671.6,13
"621","P",3,"M",1,1,17,2,"B","E","E",645.9,596.4,579.5,719.5,580,624.26,12
"661","C",1,"F",1,1,23,1,"B","H","D",487.1,487.5,523.5,499.7,240,447.56,8
"676","D",2,"M",1,3,18,2,"B","C","C",387.3,469,513.6,558.8,600,505.74,10
"688","D",1,"F",1,3,17,3,"B","E","C",402.3,464.6,548,464.4,0,375.86,7
"721","H",1,"M",1,1,16,3,"B","G","G",577.5,546.3,598.9,522.3,680,585,11
"734","O",1,"M",1,1,17,3,"B","E","E",635.9,636.2,606.7,883.6,780,708.48,14
"764","O",1,"F",0,1,16,3,"B","G","E",545.8,563.8,559.3,537.4,780,597.26,11
"766","D",1,"F",1,1,18,3,"B","H","B",457.7,585.8,591.9,606.5,680,584.38,11
"779","C",1,"M",1,3,22,1,"B","F","F",587.8,673,597.8,644.9,860,672.7,13
"798","H",1,"F",1,1,18,1,"B","D","E",528.7,592.9,546.7,442.4,580,538.14,10
"811","B",1,"F",1,3,18,1,"B","H","E",476.4,501.8,466.8,482,600,505.4,10
"818","B",2,"F",1,1,18,2,"B","C","B",500,584.8,573.2,516,680,570.8,11
"858","Q",3,"F",1,1,17,2,"B","F","G",522,601.4,602.8,665.4,740,626.32,12
"873","G",1,"F",1,1,20,1,"B","C","E",582.7,617.2,560.2,629.4,680,613.9,12
"875","E",1,"F",1,2,19,1,"B","E","F",468.9,521,499.4,396.2,660,509.1,10
"886","D",1,"F",1,1,21,1,"B","B","C",503,618.4,586.8,423.4,560,538.32,10
"889","B",1,"F",1,1,24,1,"A","C","C",382.1,434.6,410,392.7,460,415.88,8
"895","C",1,"M",2,1,23,1,"B","E","F",583.7,640.3,590.8,654.9,620,617.94,12
"921","C",1,"F",1,2,37,1,"B","D","B",506.4,459.6,533.6,461.1,620,516.14,10
"925","D",2,"M",1,1,19,2,"B","D","E",382.8,429.1,494.3,464.8,540,462.2,9
"929","G",1,"F",1,1,19,1,"B","E","D",556,518.1,574.6,409.2,620,535.58,10
"949","E",1,"M",1,1,18,1,"B","E","E",490.1,606.2,571.1,679.7,660,601.42,12
"980","D",2,"F",1,1,19,2,"B","C","D",593.2,577.8,554.7,717.8,880,664.7,13
"1011","G",1,"F",1,1,17,1,"B","F","G",629.7,630.8,596.6,724.2,880,692.26,13
"1019","C",2,"F",1,1,19,2,"A","B","C",415.6,512.1,506.2,369.3,480,456.64,9
"1021","D",1,"F",1,1,19,1,"B","C","B",494.5,455.1,511,533.3,320,462.78,9
"1024","D",1,"F",2,1,20,1,"A","E","E",597.6,528.6,549,569.5,600,568.94,11
"1029","E",2,"M",1,1,17,2,"B","D","E",504.5,569.6,588.7,528.5,640,566.26,11
"1035","H",1,"F",1,2,20,1,"B","D","D",569.1,531.7,573.1,596.5,640,582.08,11
"1045","E",1,"F",1,4,18,1,"B","E","E",539.8,585.2,581,593.2,640,587.84,11
"1046","G",1,"M",1,1,16,3,"B","E","E",521.5,626.9,603.5,698.5,780,646.08,12
"1047","P",1,"M",1,1,22,1,"B","G","E",612.9,643.6,579.6,820.6,820,695.34,13
"1048","I",2,"F",1,1,19,2,"B","E","E",633,664.2,585.8,748.8,740,674.36,13
"1064","N",3,"F",1,1,17,2,"B","F","G",614.7,624.5,587.5,676.1,940,688.56,13
"1068","G",1,"F",0,1,23,1,"B","E","E",495.6,587.3,572.5,543.4,640,567.76,11
"1071","O",3,"M",1,1,16,2,"B","F","G",553.4,636.8,627.9,718.7,740,655.36,13
"1087","G",1,"F",1,3,24,1,"B","F","E",563.2,588.2,545.8,438.3,640,555.1,11
"1088","H",1,"M",1,1,20,1,"B","E","E",556.3,647.1,640.3,744.1,860,689.56,13
"1105","C",2,"F",1,1,18,2,"B","E","G",573.4,601.1,584.3,470.2,580,561.8,11
"1121","K",3,"F",1,1,17,2,"B","F","E",571.4,622.7,624.2,646,660,624.86,12
"1135","D",1,"F",1,1,27,1,"B","C","C",561.9,568.5,572.9,579.7,600,576.6,11
"1140","D",1,"M",2,3,27,1,"A","E","B",536.8,481.9,478.2,400.1,380,455.4,9
"1149","C",1,"M",1,3,38,1,"B","B","D",695.9,677.4,652,560.4,780,673.14,13
"1153","P",1,"F",0,1,17,3,"B","G","G",575.3,663.2,646,644.2,840,673.74,13
"1156","M",2,"M",1,1,18,2,"B","F","G",530.2,548.8,522.5,612.6,660,574.82,11
"1185","C",1,"M",1,1,16,3,"B","F","G",409.3,588.8,559.7,420.5,620,519.66,10
"1186","I",1,"M",1,1,17,3,"B","F","G",564,511,532.3,636,700,588.66,11
"1207","K",1,"F",1,3,20,1,"B","G","G",610.1,637.8,601.4,624.2,800,654.7,13
"1219","H",3,"F",1,1,18,2,"B","E","F",693.7,690.5,704.6,857.9,960,781.34,15
"1225","B",1,"M",1,1,20,1,"B","E","D",558.5,531.1,497.4,645.1,600,566.42,11
"1229","E",2,"F",1,2,18,2,"B","D","G",547.8,568.3,531.5,478,640,553.12,11
"1238","C",1,"M",1,1,20,1,"B","E","D",481.3,491.9,502.5,501.2,600,515.38,10
"1258","F",1,"M",1,1,20,1,"B","D","C",626.3,611.2,601.2,773,660,654.34,13
"1262","Q",3,"F",1,1,17,2,"B","G","E",529.9,527.3,524.5,525.6,700,561.46,11
"1315","O",1,"F",1,1,16,3,"B","G","G",548.1,563.1,542.2,497.4,560,542.16,10
"1352","C",2,"M",2,3,17,2,"B","E","E",379.1,492.1,501,594.4,560,505.32,10
"1374","O",1,"F",1,1,16,3,"B","G","G",423.6,593.8,541,571.6,620,550,11
"1381","I",1,"F",1,1,16,3,"B","F","F",481.3,510.3,557.6,674,580,560.64,11
"1388","G",1,"F",1,1,23,1,"B","E","C",573,578,592.7,705.1,720,633.76,12
"1393","O",3,"F",1,1,17,2,"B","G","G",646.2,529.4,584.8,740.9,880,676.26,13
"1399","J",1,"M",0,1,21,1,"B","E","E",655.1,720.5,651,735.4,880,728.4,14
"1400","J",1,"F",0,0,17,3,"B","H","H",430.9,487.6,503.5,439,660,504.2,10
"1404","B",1,"F",1,2,25,1,"A","C","B",366.7,537.1,524.9,527.5,580,507.24,10
"1408","E",2,"M",1,1,18,2,"B","D","D",489.4,442.8,541.5,422.7,580,495.28,9
"1424","D",1,"M",1,1,20,1,"B","B","B",477.4,414.3,489.2,503.4,440,464.86,9
"1428","I",1,"F",1,1,18,1,"B","E","F",507.2,457.6,578.3,715.9,800,611.8,12
"1433","D",1,"M",1,1,25,1,"B","E","E",540.6,622.2,569.5,550.2,500,556.5,11
"1440","C",1,"M",2,1,53,1,"B","C","E",523.1,622.6,565.1,478.5,580,553.86,11
"1450","E",1,"F",2,1,31,1,"B","H","E",650,674.7,649.5,719.4,840,706.72,14
"1460","E",1,"F",1,1,19,1,"B","D","E",461.3,568.5,542.8,518.8,840,586.28,11
"1464","C",2,"F",1,1,18,2,"B","D","C",474.6,499.1,514,412.4,580,496.02,9
"1495","D",1,"F",1,3,18,1,"B","D","E",541.6,602.3,600.9,512.4,760,603.44,12
"1508","A",1,"F",1,1,24,1,"A","B","B",424.5,370.1,475.4,387.6,480,427.52,8
"1529","G",1,"M",1,1,19,1,"B","F","F",584.2,599.9,561.8,516.5,620,576.48,11
"1555","B",1,"F",1,2,18,3,"B","D","B",450.6,401.8,463.4,550.4,480,469.24,9
"1598","B",1,"F",0,1,24,1,"B","B","E",467.3,578.9,608.2,415.2,580,529.92,10
"1613","H",1,"F",1,3,20,1,"B","E","E",648.9,719.6,638.3,692,880,715.76,14
"1625","D",1,"M",1,1,18,1,"B","A","C",561.7,583,556.6,551.4,540,558.54,11
"1657","Q",2,"F",1,0,18,2,"B","G","G",627.9,651.5,623,596.6,940,687.8,13
"1667","P",1,"M",1,1,21,1,"B","H","H",736,681.3,626.7,921,900,773,15
"1682","G",2,"F",1,1,18,2,"B","E","E",380.9,382.9,507,572.4,640,496.64,9
"1683","D",1,"M",1,1,19,1,"B","E","D",591.2,601,556.4,539,600,577.52,11
"1687","D",1,"M",1,1,19,1,"B","E","E",487.5,605.3,570.8,575.7,600,567.86,11
"1720","B",2,"F",1,1,17,2,"B","E","F",592.6,593.7,579,496.6,620,576.38,11
"1730","C",2,"F",1,1,19,2,"B","C","C",384.2,425.8,512.4,435.1,600,471.5,9
"1749","O",1,"M",1,3,26,1,"B","F","F",625.8,610,554.1,759.5,880,685.88,13
"1760","G",3,"F",1,1,18,2,"B","F","G",532.4,529.2,533.8,585.2,660,568.12,11
"1765","D",2,"F",1,1,17,2,"B","C","E",512.9,572.6,592,629.2,560,573.34,11
"1775","F",2,"M",1,1,18,2,"B","C","B",386.4,436,482.3,486.6,540,466.26,9
"1780","I",1,"M",1,1,34,1,"B","B","G",649.1,669.2,631.5,669.5,560,635.86,12
"1790","B",2,"F",1,1,20,2,"B","E","D",397.1,476.6,515.1,431.1,480,459.98,9
"1822","H",1,"F",1,1,18,1,"B","E","E",494.8,496.7,473.7,400.2,680,509.08,10
"1834","N",1,"M",0,1,39,1,"B","E","A",560.1,585.8,556.5,681.6,620,600.8,12
"1837","D",2,"F",1,3,18,2,"B","D","E",420.6,374.4,555.6,417.9,540,461.7,9
"1850","D",1,"M",1,1,21,1,"A","B","C",492.8,412,441.8,420.4,420,437.4,8
"1865","G",1,"F",1,3,19,1,"B","B","E",385.7,525.4,490.3,398.6,360,432,8
"1876","G",1,"M",1,1,16,3,"B","E","E",603,615.4,578.6,790.2,740,665.44,13
"1887","N",1,"M",0,0,15,3,"B","F","G",575.2,636.3,549.4,682.2,920,672.62,13
"1895","B",2,"M",1,1,18,2,"B","E","E",567.6,597.7,599.3,674.9,600,607.9,12
"1897","O",3,"M",1,1,17,2,"B","G","G",617.4,631.7,630.5,686.8,780,669.28,13
"1899","C",2,"M",1,1,18,2,"B","G","D",484.8,573.8,561.8,610.2,600,566.12,11
"1907","C",1,"M",1,3,22,1,"B","B","D",501.5,558.7,529.4,418.5,760,553.62,11
"1909","D",1,"F",2,1,25,1,"B","C","D",428.3,415.6,536,485.5,500,473.08,9
"1930","K",2,"F",1,1,18,2,"B","E","G",517.6,597.2,580.2,508,700,580.6,11
"1940","C",3,"F",1,3,16,2,"B","E","F",633.2,624.4,572.5,656.4,660,629.3,12
"1948","N",3,"M",1,1,17,2,"B","F","E",595.5,645.7,626.5,739.7,940,709.48,14
"1973","N",1,"F",1,1,16,3,"B","F","F",611.2,670.6,629,751.6,900,712.48,14
"2007","D",2,"M",1,1,17,2,"B","D","F",570.3,640.1,606.1,749.3,560,625.16,12
"2008","K",2,"F",1,1,18,2,"B","E","E",479.3,519.3,517.9,471.9,540,505.68,10
"2028","P",3,"M",1,1,18,2,"B","G","G",665.2,706.9,660,836.8,840,741.78,14
"2033","I",1,"F",1,1,23,1,"B","E","E",615.7,647.1,577.1,446.7,660,589.32,11
"2039","I",3,"F",1,1,18,2,"B","F","E",412.1,557.4,555.1,441.2,720,537.16,10
"2045","I",1,"F",1,1,17,3,"B","G","E",510.4,484.3,553.2,600,0,429.58,8
"2071","G",1,"M",1,1,25,1,"B","D","E",525.3,482.4,490.1,568.6,640,541.28,10
"2082","O",3,"F",1,1,18,2,"B","E","G",582.3,607.7,604.5,699,940,686.7,13
"2088","M",3,"M",1,1,17,2,"B","G","G",639.5,636,605.7,848.7,820,709.98,14
"2098","L",3,"F",1,1,18,2,"B","F","G",578.2,628,567.7,564.6,640,595.7,11
"2117","E",2,"M",0,1,18,2,"B","E","F",563.8,592.7,590,730.4,680,631.38,12
"2130","D",1,"F",1,1,24,1,"B","E","D",461.3,488.8,460.8,482.7,660,510.72,10
"2139","D",1,"F",1,1,17,3,"B","E","G",496,478.1,555.1,532.1,560,524.26,10
"2151","E",1,"M",1,1,21,1,"B","E","E",505.5,597.5,507.1,784.5,560,590.92,11
"2197","H",2,"F",1,1,18,2,"B","E","F",403.3,564.9,545,609.6,640,552.56,11
"2206","C",2,"F",1,1,18,2,"B","E","E",538.9,621,604.9,513.6,800,615.68,12
"2210","G",1,"M",0,1,26,1,"B","E","E",607,711,677.2,713.5,840,709.74,14
"2219","M",3,"M",1,1,17,2,"B","F","G",555.2,650.3,624.9,763.5,820,682.78,13
"2223","C",2,"M",1,1,18,2,"B","D","E",549,523.4,566,529.5,720,577.58,11
"2267","J",1,"F",1,1,25,1,"B","E","F",577,595,598.7,516.8,720,601.5,12
"2279","D",2,"M",1,2,18,2,"B","B","E",550.3,537.8,581.7,544.4,600,562.84,11
"2286","Q",1,"F",1,1,16,3,"B","F","F",594.7,645.6,631.5,674.3,920,693.22,13
"2306","D",1,"M",2,1,33,1,"B","B","E",601.2,630.2,611.4,642.1,480,592.98,11
"2314","E",2,"F",1,1,18,2,"B","E","E",395.2,389,521.5,477.4,580,472.62,9
"2318","C",1,"F",1,1,36,1,"B","C","D",553.7,506.1,518.2,612.3,560,550.06,11
"2327","G",3,"F",1,1,18,2,"B","E","E",626.7,603.3,591.3,741.5,880,688.56,13
"2363","J",3,"M",1,1,17,2,"B","F","F",557.8,612.3,591.5,638.6,700,620.04,12
"2365","G",1,"M",1,1,22,1,"B","E","E",595.1,634,627.1,650.2,600,621.28,12
"2383","J",3,"M",1,1,17,2,"B","F","E",656.1,707.8,665.1,872.7,780,736.34,14
"2398","L",3,"F",1,1,16,2,"B","F","F",607.1,600.1,582.1,653.2,720,632.5,12
"2428","L",3,"M",1,1,17,2,"B","E","G",555.9,598.4,593.6,780.4,560,617.66,12
"2446","D",1,"M",0,3,31,1,"B","H","E",498.6,559.4,539.5,380.9,640,523.68,10
"2457","H",2,"F",1,3,18,2,"B","F","F",479.4,520.8,550.8,507.3,580,527.66,10
"2463","J",2,"M",1,1,18,2,"B","G","G",529.8,549.7,568.7,585.8,640,574.8,11
"2473","D",2,"F",1,1,17,2,"B","H","F",537.1,605.8,594.3,632.7,860,645.98,12
"2525","F",2,"F",1,1,18,2,"B","E","E",544,577.7,587.9,492.5,760,592.42,11
"2534","M",1,"F",1,1,20,1,"B","F","G",564.7,599.8,598.9,599.3,600,592.54,11
"2537","E",2,"F",1,1,18,2,"B","D","E",465.4,509.4,533.2,501.8,700,541.96,10
"2562","C",1,"F",1,0,16,3,"B","H","F",429.2,505.4,559.6,404.1,580,495.66,9
"2567","E",1,"M",1,1,21,1,"B","B","B",437.7,580.7,600.8,548.4,760,585.52,11
"2573","D",1,"F",1,1,20,1,"B","H","C",450,432.2,555.8,450.2,640,505.64,10
"2577","G",1,"F",1,1,18,3,"B","F","F",533.6,604.7,563.3,606.1,820,625.54,12
"2587","E",2,"M",1,1,18,2,"B","D","E",493.4,577.1,583.9,621.4,760,607.16,12
"2605","M",3,"M",1,1,18,2,"B","F","F",489.4,583.4,588.1,712.8,700,614.74,12
"2612","C",2,"M",1,2,20,2,"A","H","E",477.5,575.2,536.8,592.4,600,556.38,11
"2665","P",3,"F",1,1,18,2,"B","G","F",565.9,673.2,611.6,624.1,500,594.96,11
"2669","E",1,"F",0,1,53,1,"B","E","B",456.8,531,578.6,510.8,520,519.44,10
"2679","D",1,"F",0,1,53,1,"B","D","D",491,585.9,557.9,602.7,500,547.5,10
"2687","C",1,"M",1,3,22,1,"B","C","G",452.3,433.7,448.9,488.1,640,492.6,9
"2723","O",2,"F",0,1,18,2,"B","F","G",492.4,513.8,545.6,562.4,640,550.84,11
"2760","K",2,"M",1,1,18,2,"B","G","E",601.1,662.8,611.3,691.4,760,665.32,13
"2767","P",3,"F",1,1,17,2,"B","F","G",468.5,572.7,560.4,685.1,760,609.34,12
"2773","G",1,"M",1,3,27,1,"B","D","E",546.1,549.6,545.3,593.8,560,558.96,11
"2810","O",1,"F",2,1,37,1,"B","F","D",637.3,645.3,588.1,835.8,800,701.3,14
"2811","N",2,"F",1,1,19,2,"B","G","E",597.5,658.3,608.6,721.7,780,673.22,13
"2813","P",3,"F",1,1,18,2,"B","F","G",689.4,615.9,626.8,825.8,900,731.58,14
"2819","C",2,"F",1,3,18,2,"B","B","D",515.7,539.1,509.6,471.5,680,543.18,10
"2821","C",2,"M",1,3,20,2,"B","E","E",511.2,573.4,552.1,581.1,560,555.56,11
"2824","N",3,"F",3,1,17,2,"B","F","F",627.8,598.2,569,652.5,660,621.5,12
"2857","P",1,"F",1,1,16,3,"B","F","F",474.5,618.9,602.9,703.7,820,644,12
"2858","O",3,"F",1,1,17,2,"B","F","F",467.1,469.7,579.3,475.2,640,526.26,10
"2869","K",1,"F",1,1,18,1,"B","G","G",601.2,647.3,620.5,763.5,860,698.5,13
"2905","C",2,"F",1,1,18,2,"B","E","D",500.4,534.7,522.9,400.7,500,491.74,9
"2920","E",1,"F",0,3,35,1,"B","B","B",464.9,461.9,546.8,471.2,540,496.96,9
"2923","E",1,"M",0,1,37,1,"A","C","C",435.2,570.3,541.5,483.8,280,462.16,9
"2933","I",2,"M",1,3,17,2,"B","D","E",603.6,631.5,623.7,694.4,700,650.64,13
"2940","E",2,"F",1,3,18,2,"B","D","E",478,554.9,566.2,542.5,640,556.32,11
"2945","E",1,"F",1,4,25,1,"B","F","C",483.5,574.7,582.6,668.8,520,565.92,11
"2959","C",1,"M",1,1,25,1,"B","H","E",613.9,446.5,545.8,569.2,520,539.08,10
"2991","C",1,"F",2,3,19,1,"B","B","B",467.7,572.1,559.1,447.6,820,573.3,11
"3018","I",1,"M",1,1,21,1,"B","E","F",519,614.7,580.5,765.4,320,559.92,11
"3019","D",2,"M",1,1,17,2,"B","C","E",602.2,603.6,610.8,724.2,800,668.16,13
"3025","C",2,"F",2,3,29,2,"B","B","B",505.1,509.7,504.5,483.4,320,464.54,9
"3042","B",2,"F",1,3,18,2,"B","D","B",460.6,505.6,519.9,558.2,280,464.86,9
"3043","E",1,"M",0,1,39,1,"B","H","C",549.5,592.6,525.6,646.6,460,554.86,11
"3049","D",2,"F",1,1,18,2,"B","H","H",472.5,580.2,545.4,469.9,560,525.6,10
"3058","C",1,"F",1,3,20,1,"A","C","F",416.5,466.1,538.4,444.2,540,481.04,9
"3065","H",2,"F",1,1,17,2,"B","E","E",465.1,408,344.4,385.2,560,432.54,8
"3086","O",1,"M",1,1,19,1,"B","F","G",586.6,715.7,657.4,830.7,640,686.08,13
"3089","I",1,"F",1,1,20,1,"B","G","E",587,553.6,604.5,633.5,720,619.72,12
"3090","G",2,"M",1,1,18,2,"B","E","E",411.9,417.2,462.5,463.2,480,446.96,8
"3109","E",2,"M",1,1,17,2,"B","E","E",521.3,557.7,555.8,601.1,860,619.18,12
"3129","G",1,"M",1,1,21,1,"B","B","D",461.2,573.3,592.6,620.3,400,529.48,10
"3168","E",1,"F",1,3,19,1,"B","D","E",569.5,624.5,588.7,504.8,840,625.5,12
"3170","Q",1,"F",1,1,18,1,"B","G","F",636.2,646.3,608.4,618.1,820,665.8,13
"3186","E",1,"M",1,2,27,1,"B","B","B",577,580.9,580.8,676.7,640,611.08,12
"3222","Q",2,"F",1,1,20,2,"B","G","F",597.6,660.1,627.3,680.1,800,673.02,13
"3227","D",1,"F",1,1,23,1,"B","E","F",545.2,578.2,594.4,618.3,380,543.22,10
"3245","G",1,"F",1,1,20,1,"B","E","E",371.6,441.3,474.2,396.5,440,424.72,8
"3247","B",2,"F",1,1,18,2,"B","C","E",500.2,569.9,539.5,667.4,620,579.4,11
"3267","B",1,"F",1,2,20,1,"B","E","E",368.2,373.2,392.7,454.2,440,405.66,8
"3272","P",1,"F",1,1,16,3,"B","G","F",532,633,590.2,619.2,640,602.88,12
"3282","P",1,"M",1,1,19,1,"B","F","G",620.1,660.2,635,851.8,840,721.42,14
"3313","N",1,"F",1,1,16,3,"B","G","G",562,610.1,591.6,522.6,0,457.26,9
"3315","O",1,"F",1,1,19,1,"B","F","E",598.1,570.3,587.3,703.2,840,659.78,13
"3337","D",2,"M",1,1,18,2,"B","C","E",554.2,577.6,481.8,660.3,700,594.78,11
"3351","C",1,"M",1,2,21,1,"B","E","D",393.1,502.7,492.2,466.1,520,474.82,9
"3357","H",1,"F",1,1,16,3,"B","F","F",551.3,557.2,540.4,651.2,620,584.02,11
"3364","Q",1,"M",1,1,16,3,"B","G","G",571,686.6,607.6,693,880,687.64,13
"3371","N",3,"F",1,1,17,2,"B","G","C",587.2,608.1,548.6,616.8,760,624.14,12
"3377","B",1,"F",1,1,17,3,"A","D","D",368.2,395.7,474.3,376.4,540,430.92,8
"3396","G",1,"F",1,1,20,1,"B","F","E",541.7,581.3,601.1,501.7,680,581.16,11
"3430","E",1,"M",1,1,20,1,"B","D","F",568.8,558.6,538.6,723.9,760,629.98,12
"3454","P",3,"F",1,1,17,2,"B","G","F",637.7,622.4,613.8,751.9,800,685.16,13
"3467","L",3,"F",1,1,17,2,"B","F","G",593.6,650.4,584.8,646.8,820,659.12,13
"3480","E",2,"M",2,2,33,2,"B","B","B",473.7,440.4,385,497.6,360,431.34,8
"3484","G",2,"F",1,1,18,2,"B","E","F",437.5,481.4,520.5,477.9,680,519.46,10
"3493","O",1,"F",1,1,19,1,"B","G","F",625.6,584,622.2,694.8,920,689.32,13
"3497","C",1,"F",1,1,34,1,"B","B","C",389.1,446,400.2,423.5,560,443.76,8
"3503","I",1,"M",0,1,35,1,"B","F","E",661.7,604.5,600.2,657.7,640,632.82,12
"3539","N",3,"F",1,1,17,2,"B","F","E",599.3,597.2,583,676,760,643.1,12
"3562","C",1,"F",0,2,30,1,"B","B","B",386.9,367.1,443,410.6,560,433.52,8
"3587","G",2,"F",1,1,18,2,"B","E","E",541.8,565.7,546.8,594.4,640,577.74,11
"3600","C",2,"F",1,1,17,2,"B","C","C",431.7,403.3,516.4,498.9,540,478.06,9
"3604","M",3,"M",1,1,17,2,"B","F","F",573.6,617.2,627.4,731.9,560,622.02,12
"3607","Q",1,"F",1,1,16,3,"B","F","F",586.2,621,602.2,680.5,960,689.98,13
"3608","O",3,"F",1,1,17,2,"B","G","G",635.5,651.1,622.4,711.1,840,692.02,13
"3617","E",1,"F",1,3,19,1,"B","E","D",567.4,582,576.3,712.1,740,635.56,12
"3618","H",3,"F",1,1,16,2,"B","F","F",560.2,507,549.9,458.4,660,547.1,10
"3620","Q",3,"F",1,1,17,2,"B","E","G",549.8,544.1,586.3,707.8,840,645.6,12
"3637","M",1,"F",1,1,16,3,"B","D","G",425.6,561,566.3,569.4,720,568.46,11
"3638","C",1,"M",0,3,24,1,"A","D","C",425,433.2,477.9,438.9,480,451,9
"3674","G",1,"F",1,1,17,3,"B","D","D",513.7,517.5,555,487.4,600,534.72,10
"3683","K",1,"F",1,1,21,1,"B","E","F",586.6,570.2,622.2,698.5,680,631.5,12
"3696","C",3,"M",0,1,17,2,"B","E","F",597.4,593.4,577.5,702.2,740,642.1,12
"3708","J",3,"M",1,1,17,2,"B","F","G",627.3,670.5,597.5,903.7,820,723.8,14
"3709","C",1,"M",0,3,19,1,"B","D","D",450.4,542.8,534.4,425.4,0,390.6,7
"3730","E",1,"F",1,1,19,1,"B","C","D",599.4,627.5,595.7,666,920,681.72,13
"3734","G",1,"F",1,1,20,1,"B","E","F",539,615.7,567.6,578.5,680,596.16,11
"3792","P",2,"M",1,3,18,2,"B","F","E",479.7,591.5,579.7,684.1,700,607,12
"3802","C",2,"F",1,1,18,2,"B","C","E",443.3,512.5,561.3,530.9,720,553.6,11
"3808","D",1,"F",1,1,19,1,"B","E","E",626.2,581.7,573.2,641.8,640,612.58,12
"3847","C",1,"F",1,1,22,1,"B","B","E",458.2,563.2,532.3,405.4,440,479.82,9
"3848","E",3,"F",1,1,18,2,"B","E","E",609.7,613.3,607.8,614.6,640,617.08,12
"3889","N",3,"F",1,1,17,2,"B","G","G",608.2,719.1,609.1,669.8,680,657.24,13
"3906","L",3,"F",1,1,17,2,"B","E","G",686.5,637.3,599.1,737.9,960,724.16,14
"3908","C",1,"F",0,3,23,1,"B","C","C",435.8,485.5,434,395.8,300,410.22,8
"3913","K",2,"F",1,3,18,2,"A","D","F",403.4,553.7,535.6,506.7,560,511.88,10
"3961","D",1,"F",1,3,16,3,"B","C","D",458.3,462.9,533.9,513.1,540,501.64,10
"3984","D",1,"F",1,0,17,3,"B","D","E",552.8,584.4,576.1,592.4,680,597.14,11
"3994","D",1,"M",0,1,25,1,"A","B","C",525.8,576.5,526.1,476.3,480,516.94,10
"4013","D",1,"M",1,1,19,1,"B","C","E",513.2,569.5,531.9,558.5,720,578.62,11
