"","Q006","TP_ESCOLA","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","NU_IDADE","TP_ST_CONCLUSAO","Q025","Q001","Q002","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_MEDIA","NOTA_MEDIA_GROUPPED"
"18864","J",1,"F",1,1,21,1,"B","G","F",674.5,639.7,651.3,788.8,780,706.86,14
"18888","K",2,"M",1,1,19,2,"B","D","F",563.7,645.8,622.5,707,840,675.8,13
"18894","E",2,"M",1,1,18,2,"B","E","C",576.6,581.6,584.5,730.1,640,622.56,12
"18935","P",3,"M",1,2,18,2,"B","F","G",608.7,656.5,571.2,694,960,698.08,13
"18940","C",2,"M",1,3,20,2,"B","E","E",508.6,516.5,474.1,409.5,640,509.74,10
"18978","C",1,"F",1,1,16,3,"B","E","E",571.6,587.4,579.3,636.3,560,586.92,11
"18986","N",3,"F",1,1,17,2,"B","G","G",534.5,557.3,587.7,603.9,880,632.68,12
"19002","N",3,"M",1,3,19,2,"B","E","G",572.4,679.6,632.4,591.5,660,627.18,12
"19014","G",3,"M",2,1,18,2,"B","D","B",547.3,448.1,548.3,610.4,560,542.82,10
"19020","C",2,"F",1,1,18,2,"B","B","B",410.5,499,560.5,614.7,760,568.94,11
"19031","C",1,"M",1,3,24,1,"B","C","E",417.3,476.9,500.2,443.2,440,455.52,9
"19039","D",1,"F",1,1,19,1,"B","E","G",405.3,460.3,455.4,466.5,580,473.5,9
"19057","K",1,"F",1,1,16,3,"B","G","G",510,556.1,550.7,558.7,740,583.1,11
"19088","E",2,"F",1,1,18,2,"B","B","E",594.3,576,545.7,595.4,620,586.28,11
"19089","H",2,"F",1,1,17,2,"B","F","F",487.1,565.2,586.9,566.4,680,577.12,11
"19094","O",1,"F",1,1,16,3,"B","E","G",465.8,506.8,526.7,552.1,560,522.28,10
"19097","E",1,"F",1,2,22,1,"B","G","F",572.5,624.9,627.6,666.9,880,674.38,13
"19105","F",1,"F",1,1,19,1,"B","D","E",537,599.4,612.4,579.6,680,601.68,12
"19108","C",1,"F",1,1,16,3,"B","G","E",575.4,579.9,595,644.7,600,599,11
"19124","C",2,"F",1,1,18,2,"B","F","F",561.7,655.2,621.7,690.3,740,653.78,13
"19134","E",1,"F",1,1,26,1,"B","E","E",454.6,419,466.4,483.9,560,476.78,9
"19156","E",1,"M",1,3,20,1,"B","B","E",464.1,387.9,524.3,443.3,640,491.92,9
"19158","E",2,"M",1,1,19,2,"B","E","E",602.8,601.7,605.6,817.5,660,657.52,13
"19159","C",1,"M",1,3,40,1,"B","C","C",427.2,663.7,547.9,578.8,640,571.52,11
"19160","O",1,"F",1,1,22,1,"B","G","G",684.4,674.8,639.6,783.7,940,744.5,14
